1,2558,1506.09,456.63,90,6395000,40.88,7.89,29780,0.19,214.7,0.21,0.26,0.49,0.1,0.4,99.59,32.19,1.84,0.16,0.2,87.65,0,0.47,132.78,-0.01
2,22325,79.11,841.03,180,55812500,51.11,1.21,61900,0.02,901.7,0.02,0.03,0.11,0.01,0.11,6058.23,4061.15,2.3,0.02,0.02,87.65,0,0.58,132.78,-0.01
3,115,1449.85,608.43,88,287500,40.42,7.34,3340,0.18,86.1,0.21,0.32,0.5,0.17,0.34,71.2,16.73,1.82,0.19,0.29,87.65,0,0.46,132.78,-0.01
4,1201,1562.53,295.65,66,3002500,42.4,7.97,18030,0.19,166.5,0.21,0.26,0.48,0.1,0.38,120.22,33.47,1.91,0.16,0.21,87.65,0,0.48,132.78,-0.01
5,312,950.27,440.86,37,780000,41.43,7.03,3350,0.17,232.8,0.15,0.19,0.35,0.09,0.26,289.19,48.68,1.86,0.13,0.16,87.65,0,0.47,132.78,-0.01
6,54,1438.13,544.91,82,135000,44.67,6.92,1570,0.15,86,0.18,0.25,0.53,0.15,0.38,55.25,29.21,2.01,0.16,0.22,87.65,0,0.51,132.78,-0.01
7,116,1446.29,580.94,97,290000,41.53,6.24,3660,0.15,79.2,0.21,0.3,0.49,0.14,0.35,207.31,21.67,1.87,0.17,0.27,87.65,0,0.47,132.78,-0.01
8,57,28.68,715.39,141,142500,51.67,0.83,1810,0.02,78.7,0.02,0.03,0.07,0.02,0.05,5717,1678.13,2.32,0.02,0.03,87.65,0,0.59,132.78,-0.01
9,188,964.23,456.23,22,470000,38.9,5.89,3720,0.15,126.3,0.19,0.24,0.38,0.09,0.29,125.35,49.55,1.75,0.14,0.19,87.65,0,0.44,132.78,-0.01
10,64,903.02,274.88,33,160000,41.22,7.9,1850,0.19,86.5,0.19,0.25,0.36,0.12,0.24,64.34,22.56,1.85,0.19,0.25,87.65,0,0.47,132.78,-0.01
11,59,1127.41,1507.76,42,147500,47.59,4.72,1800,0.1,81.9,0.11,0.14,0.23,0.09,0.14,431.19,73.4,2.14,0.1,0.13,87.65,0,0.54,132.78,-0.01
1,329,1627.54,1409.43,51,822500,35,6.1,4610,0.17,178.4,0.2,0.24,0.39,0.12,0.27,138.32,34.81,2.02,0.14,0.19,75.26,0,0.47,351.67,0.18
2,3234,1091.56,1357.96,32,8085000,40.08,8.98,25450,0.22,317.7,0.18,0.2,0.49,0.09,0.41,114.69,41.87,2.31,0.15,0.18,75.26,0,0.53,351.67,0.18
3,2339,1537.68,1633.02,45,5847500,38.13,9.29,22110,0.24,264.5,0.21,0.26,0.79,0.08,0.71,89.49,32.23,2.2,0.17,0.22,75.26,0,0.51,351.67,0.18
4,2971,1020.91,630.8,59,7427500,32.76,10.48,17380,0.32,427.4,0.22,0.29,0.5,0.08,0.42,149.87,50.99,1.89,0.14,0.18,75.26,0,0.44,351.67,0.18
5,3155,1118.08,469.39,11,7887500,30.41,7.99,15880,0.26,496.7,0.2,0.26,0.69,0.11,0.58,118.11,43.96,1.76,0.15,0.18,75.26,0,0.4,351.67,0.18
